rider_id,city_name,TGA_Status,error_codes,contract name,Working Days,batch_number,Planned Working Hours,Actual Working Hours,Attendance Rate %,Avg. Working Hours/ Day,Break Hours,Number of Shifts,no_shows,No Show %,Notified Deliveries,Accepted Deliveries,Completed Deliveries,Stacked Deliveries,Not Accepted Deliveries,Declined Deliveries,Cancelled Deliveries,Acceptance Rate,Lost Hours,Contact Rate
1894472,Al majmaah,0,0,shorouk_mansoura_ftr,1,4,17.5,17.99,1,17.99,0,4,0,0,7,7,7,0,0,0,0,1,0.014444444444444444,0
2266535,Riyadh,0,0,shorouk_mansoura_ftr,1,3,16.75,13.89,0.8292537313432836,13.89,3.293888888888889,4,0,0,21,21,21,0,0,0,0,1,0.1361111111111111,0
2126514,Riyadh,0,0,shorouk_mansoura_ftr,1,3,15,15.75,1,15.75,0.38722222222222225,4,0,0,21,21,20,0,0,0,1,1,0.0005555555555555556,0.047619047619047616
2091757,Riyadh,0,0,shorouk_mansoura_ftr,1,3,16,14.97,0.935625,14.97,1.021388888888889,4,0,0,15,15,15,0,0,0,0,1,0.008611111111111111,0
2091736,Riyadh,0,0,shorouk_mansoura_ftr,1,4,13.25,10.68,0.8060377358490566,10.68,2.5569444444444445,3,0,0,15,14,13,2,0,1,1,0.9333333333333333,0.04666666666666667,0.14285714285714285
2003946,Riyadh,0,0,shorouk_mansoura_ftr,1,3,16.25,10.55,0.6492307692307693,10.55,4.559444444444445,4,0,0,8,6,5,0,0,2,0,0.75,1.1402777777777777,0.2
2061282,Riyadh,0,0,shorouk_mansoura_ftr,1,2,18.25,17.29,0.9473972602739725,17.29,0.8372222222222222,4,0,0,23,22,22,4,0,1,0,0.9565217391304348,0.37277777777777776,0
2061278,Riyadh,0,0,shorouk_mansoura_ftr,1,3,9.39,9.64,1,9.64,0,3,0,0,10,10,10,2,0,0,0,1,0.003611111111111111,0
2519867,Riyadh,0,0,shorouk_mansoura_ftr,1,3,18.74,11.53,0.6152614727854856,11.53,1.8783333333333334,3,1,0.25,11,9,9,2,0,2,0,0.8181818181818182,5.7508333333333335,0
1811627,Riyadh,0,0,shorouk_mansoura_ftr,1,3,15,13.12,0.8746666666666666,13.12,0.0636111111111111,4,0,0,12,10,10,0,0,2,0,0.8333333333333334,2.071388888888889,0
2519862,Riyadh,0,0,shorouk_mansoura_ftr,1,3,21.75,20.74,0.9535632183908045,20.74,1.0066666666666666,5,0,0,16,16,16,2,0,0,0,1,0.5377777777777777,0
2040739,Riyadh,0,0,shorouk_mansoura_ftr,1,2,14.25,14.18,0.9950877192982456,14.18,0.0725,4,0,0,14,14,14,0,0,0,0,1,0.0016666666666666668,0
1685869,Riyadh,0,0,shorouk_mansoura_ftr,1,3,11.25,11.23,0.9982222222222222,11.23,0.014166666666666666,3,0,0,12,11,11,4,0,1,0,0.9166666666666666,0.012222222222222223,0
1811671,Riyadh,0,0,shorouk_mansoura_ftr,1,3,21.5,20.53,0.9548837209302327,20.53,1.0091666666666668,4,0,0,31,30,30,0,0,1,0,0.967741935483871,0.4305555555555556,0
2067139,Riyadh,0,0,shorouk_mansoura_ftr,1,2,11.75,11.88,1,11.88,0.1786111111111111,3,0,0,15,15,15,0,0,0,0,1,0.06055555555555556,0
2078585,Riyadh,0,0,shorouk_mansoura_ftr,1,3,15,13.07,0.8713333333333334,13.07,2.1663888888888887,4,0,0,11,9,9,0,0,2,0,0.8181818181818182,0.011944444444444445,0
2014322,Riyadh,0,0,shorouk_mansoura_ftr,1,3,17.5,14.8,0.8457142857142858,14.8,1.2138888888888888,4,0,0,14,13,13,0,0,1,0,0.9285714285714286,1.738888888888889,0
